# Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
1201293	Moritella dasanensis ArB 0140	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,Moritella dasanensis,Moritella dasanensis ArB 0140	1,131567,2,1224,1236,135622,267891,58050,428031,1201293
868	Cardiobacteriaceae	family	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae	1,131567,2,1224,1236,135615,868
1123239	Salsuginibacillus kocurii DSM 18087	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salsuginibacillus,Salsuginibacillus kocurii,Salsuginibacillus kocurii DSM 18087	1,131567,2,1783272,1239,91061,1385,186817,427077,427078,1123239
39845	Actinokineospora	genus	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora	1,131567,2,1783272,201174,1760,85010,2070,39845
1111733	Massilia alkalitolerans DSM 17462	no rank	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia alkalitolerans,Massilia alkalitolerans DSM 17462	1,131567,2,1224,28216,80840,75682,149698,286638,1111733
1122971	Porphyromonas bennonis DSM 23058 = JCM 16335	no rank	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas bennonis,Porphyromonas bennonis DSM 23058 = JCM 16335	1,131567,2,1783270,68336,976,200643,171549,171551,836,501496,1122971
158189	Sphaerochaeta globosa str. Buddy	no rank	root,cellular organisms,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,Sphaerochaeta globosa,Sphaerochaeta globosa str. Buddy	1,131567,2,203691,203692,136,137,399320,1131703,158189
1123009	Proteocatella sphenisci DSM 23131	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Proteocatella,Proteocatella sphenisci,Proteocatella sphenisci DSM 23131	1,131567,2,1783272,1239,186801,186802,186804,181069,181070,1123009
1257021	Flammeovirgaceae bacterium 311	species	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,unclassified Flammeovirgaceae,Flammeovirgaceae bacterium 311	1,131567,2,1783270,68336,976,768503,768507,200667,340671,1257021
143222	Salegentibacter	genus	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salegentibacter	1,131567,2,1783270,68336,976,117743,200644,49546,143222
2529408	Schaalia	genus	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Schaalia	1,131567,2,1783272,201174,1760,2037,2049,2529408
1294025	Cellulosilyticum ruminicola JCM 14822	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,Cellulosilyticum ruminicola,Cellulosilyticum ruminicola JCM 14822	1,131567,2,1783272,1239,186801,186802,186803,698776,425254,1294025
